Geography,Geography,Gender (3a),Age (in single,2021,2016
405,"Rivière-du-Loup (CA), Que.",  Men+,55,,
405,"Rivière-du-Loup (CA), Que.",  Men+,56,,
405,"Rivière-du-Loup (CA), Que.",  Men+,57,,
405,"Rivière-du-Loup (CA), Que.",  Men+,58,,
405,"Rivière-du-Loup (CA), Que.",  Men+,59,,
405,"Rivière-du-Loup (CA), Que.",  Men+,    60 to 64 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,60,,
405,"Rivière-du-Loup (CA), Que.",  Men+,61,,
405,"Rivière-du-Loup (CA), Que.",  Men+,62,,
405,"Rivière-du-Loup (CA), Que.",  Men+,63,,
405,"Rivière-du-Loup (CA), Que.",  Men+,64,,
405,"Rivière-du-Loup (CA), Que.",  Men+,  65 years and over,,
405,"Rivière-du-Loup (CA), Que.",  Men+,    65 to 69 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,65,,
405,"Rivière-du-Loup (CA), Que.",  Men+,66,,
405,"Rivière-du-Loup (CA), Que.",  Men+,67,,
405,"Rivière-du-Loup (CA), Que.",  Men+,68,,
405,"Rivière-du-Loup (CA), Que.",  Men+,69,,
405,"Rivière-du-Loup (CA), Que.",  Men+,    70 to 74 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,70,,
405,"Rivière-du-Loup (CA), Que.",  Men+,71,,
405,"Rivière-du-Loup (CA), Que.",  Men+,72,,
405,"Rivière-du-Loup (CA), Que.",  Men+,73,,
405,"Rivière-du-Loup (CA), Que.",  Men+,74,,
405,"Rivière-du-Loup (CA), Que.",  Men+,    75 to 79 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,75,,
405,"Rivière-du-Loup (CA), Que.",  Men+,76,,
405,"Rivière-du-Loup (CA), Que.",  Men+,77,,
405,"Rivière-du-Loup (CA), Que.",  Men+,78,,
405,"Rivière-du-Loup (CA), Que.",  Men+,79,,
405,"Rivière-du-Loup (CA), Que.",  Men+,    80 to 84 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,80,,
405,"Rivière-du-Loup (CA), Que.",  Men+,81,,
405,"Rivière-du-Loup (CA), Que.",  Men+,82,,
405,"Rivière-du-Loup (CA), Que.",  Men+,83,,
405,"Rivière-du-Loup (CA), Que.",  Men+,84,,
405,"Rivière-du-Loup (CA), Que.",  Men+,    85 years and over,,
405,"Rivière-du-Loup (CA), Que.",  Men+,      85 to 89 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,85,,
405,"Rivière-du-Loup (CA), Que.",  Men+,86,,
405,"Rivière-du-Loup (CA), Que.",  Men+,87,,
405,"Rivière-du-Loup (CA), Que.",  Men+,88,,
405,"Rivière-du-Loup (CA), Que.",  Men+,89,,
405,"Rivière-du-Loup (CA), Que.",  Men+,      90 to 94 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,90,,
405,"Rivière-du-Loup (CA), Que.",  Men+,91,,
405,"Rivière-du-Loup (CA), Que.",  Men+,92,,
405,"Rivière-du-Loup (CA), Que.",  Men+,93,,
405,"Rivière-du-Loup (CA), Que.",  Men+,94,,
405,"Rivière-du-Loup (CA), Que.",  Men+,      95 to 99 years,,
405,"Rivière-du-Loup (CA), Que.",  Men+,95,,
405,"Rivière-du-Loup (CA), Que.",  Men+,96,,
405,"Rivière-du-Loup (CA), Que.",  Men+,97,,
405,"Rivière-du-Loup (CA), Que.",  Men+,98,,
405,"Rivière-du-Loup (CA), Que.",  Men+,99,,
405,"Rivière-du-Loup (CA), Que.",  Men+,      100 years and over,,
405,"Rivière-du-Loup (CA), Que.",  Men+,Average age,,
405,"Rivière-du-Loup (CA), Que.",  Men+,Median age,,
405,"Rivière-du-Loup (CA), Que.",  Women+,Total - Age,,
405,"Rivière-du-Loup (CA), Que.",  Women+,  0 to 14 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    0 to 4 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,      Under 1 year,,
405,"Rivière-du-Loup (CA), Que.",  Women+,1,,
405,"Rivière-du-Loup (CA), Que.",  Women+,2,,
405,"Rivière-du-Loup (CA), Que.",  Women+,3,,
405,"Rivière-du-Loup (CA), Que.",  Women+,4,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    5 to 9 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,5,,
405,"Rivière-du-Loup (CA), Que.",  Women+,6,,
405,"Rivière-du-Loup (CA), Que.",  Women+,7,,
405,"Rivière-du-Loup (CA), Que.",  Women+,8,,
405,"Rivière-du-Loup (CA), Que.",  Women+,9,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    10 to 14 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,10,,
405,"Rivière-du-Loup (CA), Que.",  Women+,11,,
405,"Rivière-du-Loup (CA), Que.",  Women+,12,,
405,"Rivière-du-Loup (CA), Que.",  Women+,13,,
405,"Rivière-du-Loup (CA), Que.",  Women+,14,,
405,"Rivière-du-Loup (CA), Que.",  Women+,  15 to 64 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    15 to 19 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,15,,
405,"Rivière-du-Loup (CA), Que.",  Women+,16,,
405,"Rivière-du-Loup (CA), Que.",  Women+,17,,
405,"Rivière-du-Loup (CA), Que.",  Women+,18,,
405,"Rivière-du-Loup (CA), Que.",  Women+,19,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    20 to 24 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,20,,
405,"Rivière-du-Loup (CA), Que.",  Women+,21,,
405,"Rivière-du-Loup (CA), Que.",  Women+,22,,
405,"Rivière-du-Loup (CA), Que.",  Women+,23,,
405,"Rivière-du-Loup (CA), Que.",  Women+,24,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    25 to 29 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,25,,
405,"Rivière-du-Loup (CA), Que.",  Women+,26,,
405,"Rivière-du-Loup (CA), Que.",  Women+,27,,
405,"Rivière-du-Loup (CA), Que.",  Women+,28,,
405,"Rivière-du-Loup (CA), Que.",  Women+,29,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    30 to 34 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,30,,
405,"Rivière-du-Loup (CA), Que.",  Women+,31,,
405,"Rivière-du-Loup (CA), Que.",  Women+,32,,
405,"Rivière-du-Loup (CA), Que.",  Women+,33,,
405,"Rivière-du-Loup (CA), Que.",  Women+,34,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    35 to 39 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,35,,
405,"Rivière-du-Loup (CA), Que.",  Women+,36,,
405,"Rivière-du-Loup (CA), Que.",  Women+,37,,
405,"Rivière-du-Loup (CA), Que.",  Women+,38,,
405,"Rivière-du-Loup (CA), Que.",  Women+,39,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    40 to 44 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,40,,
405,"Rivière-du-Loup (CA), Que.",  Women+,41,,
405,"Rivière-du-Loup (CA), Que.",  Women+,42,,
405,"Rivière-du-Loup (CA), Que.",  Women+,43,,
405,"Rivière-du-Loup (CA), Que.",  Women+,44,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    45 to 49 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,45,,
405,"Rivière-du-Loup (CA), Que.",  Women+,46,,
405,"Rivière-du-Loup (CA), Que.",  Women+,47,,
405,"Rivière-du-Loup (CA), Que.",  Women+,48,,
405,"Rivière-du-Loup (CA), Que.",  Women+,49,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    50 to 54 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,50,,
405,"Rivière-du-Loup (CA), Que.",  Women+,51,,
405,"Rivière-du-Loup (CA), Que.",  Women+,52,,
405,"Rivière-du-Loup (CA), Que.",  Women+,53,,
405,"Rivière-du-Loup (CA), Que.",  Women+,54,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    55 to 59 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,55,,
405,"Rivière-du-Loup (CA), Que.",  Women+,56,,
405,"Rivière-du-Loup (CA), Que.",  Women+,57,,
405,"Rivière-du-Loup (CA), Que.",  Women+,58,,
405,"Rivière-du-Loup (CA), Que.",  Women+,59,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    60 to 64 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,60,,
405,"Rivière-du-Loup (CA), Que.",  Women+,61,,
405,"Rivière-du-Loup (CA), Que.",  Women+,62,,
405,"Rivière-du-Loup (CA), Que.",  Women+,63,,
405,"Rivière-du-Loup (CA), Que.",  Women+,64,,
405,"Rivière-du-Loup (CA), Que.",  Women+,  65 years and over,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    65 to 69 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,65,,
405,"Rivière-du-Loup (CA), Que.",  Women+,66,,
405,"Rivière-du-Loup (CA), Que.",  Women+,67,,
405,"Rivière-du-Loup (CA), Que.",  Women+,68,,
405,"Rivière-du-Loup (CA), Que.",  Women+,69,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    70 to 74 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,70,,
405,"Rivière-du-Loup (CA), Que.",  Women+,71,,
405,"Rivière-du-Loup (CA), Que.",  Women+,72,,
405,"Rivière-du-Loup (CA), Que.",  Women+,73,,
405,"Rivière-du-Loup (CA), Que.",  Women+,74,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    75 to 79 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,75,,
405,"Rivière-du-Loup (CA), Que.",  Women+,76,,
405,"Rivière-du-Loup (CA), Que.",  Women+,77,,
405,"Rivière-du-Loup (CA), Que.",  Women+,78,,
405,"Rivière-du-Loup (CA), Que.",  Women+,79,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    80 to 84 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,80,,
405,"Rivière-du-Loup (CA), Que.",  Women+,81,,
405,"Rivière-du-Loup (CA), Que.",  Women+,82,,
405,"Rivière-du-Loup (CA), Que.",  Women+,83,,
405,"Rivière-du-Loup (CA), Que.",  Women+,84,,
405,"Rivière-du-Loup (CA), Que.",  Women+,    85 years and over,,
405,"Rivière-du-Loup (CA), Que.",  Women+,      85 to 89 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,85,,
405,"Rivière-du-Loup (CA), Que.",  Women+,86,,
405,"Rivière-du-Loup (CA), Que.",  Women+,87,,
405,"Rivière-du-Loup (CA), Que.",  Women+,88,,
405,"Rivière-du-Loup (CA), Que.",  Women+,89,,
405,"Rivière-du-Loup (CA), Que.",  Women+,      90 to 94 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,90,,
405,"Rivière-du-Loup (CA), Que.",  Women+,91,,
405,"Rivière-du-Loup (CA), Que.",  Women+,92,,
405,"Rivière-du-Loup (CA), Que.",  Women+,93,,
405,"Rivière-du-Loup (CA), Que.",  Women+,94,,
405,"Rivière-du-Loup (CA), Que.",  Women+,      95 to 99 years,,
405,"Rivière-du-Loup (CA), Que.",  Women+,95,,
405,"Rivière-du-Loup (CA), Que.",  Women+,96,,
405,"Rivière-du-Loup (CA), Que.",  Women+,97,,
405,"Rivière-du-Loup (CA), Que.",  Women+,98,,
405,"Rivière-du-Loup (CA), Que.",  Women+,99,,
405,"Rivière-du-Loup (CA), Que.",  Women+,      100 years and over,,
405,"Rivière-du-Loup (CA), Que.",  Women+,Average age,,
405,"Rivière-du-Loup (CA), Que.",  Women+,Median age,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,Total - Age,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,  0 to 14 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    0 to 4 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,      Under 1 year,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,1,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,2,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,3,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,4,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    5 to 9 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,5,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,6,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,7,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,8,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,9,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    10 to 14 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,10,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,11,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,12,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,13,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,14,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,  15 to 64 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    15 to 19 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,15,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,16,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,17,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,18,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,19,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    20 to 24 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,20,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,21,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,22,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,23,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,24,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    25 to 29 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,25,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,26,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,27,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,28,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,29,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    30 to 34 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,30,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,31,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,32,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,33,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,34,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    35 to 39 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,35,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,36,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,37,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,38,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,39,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    40 to 44 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,40,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,41,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,42,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,43,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,44,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    45 to 49 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,45,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,46,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,47,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,48,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,49,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    50 to 54 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,50,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,51,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,52,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,53,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,54,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    55 to 59 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,55,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,56,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,57,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,58,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,59,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    60 to 64 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,60,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,61,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,62,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,63,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,64,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,  65 years and over,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    65 to 69 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,65,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,66,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,67,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,68,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,69,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    70 to 74 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,70,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,71,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,72,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,73,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,74,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    75 to 79 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,75,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,76,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,77,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,78,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,79,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    80 to 84 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,80,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,81,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,82,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,83,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,84,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,    85 years and over,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,      85 to 89 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,85,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,86,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,87,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,88,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,89,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,      90 to 94 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,90,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,91,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,92,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,93,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,94,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,      95 to 99 years,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,95,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,96,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,97,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,98,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,99,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,      100 years and over,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,Average age,,
485,"Rouyn-Noranda (CA), Que.", Total - Gender,Median age,,
485,"Rouyn-Noranda (CA), Que.",  Men+,Total - Age,,
485,"Rouyn-Noranda (CA), Que.",  Men+,  0 to 14 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    0 to 4 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,      Under 1 year,,
485,"Rouyn-Noranda (CA), Que.",  Men+,1,,
485,"Rouyn-Noranda (CA), Que.",  Men+,2,,
485,"Rouyn-Noranda (CA), Que.",  Men+,3,,
485,"Rouyn-Noranda (CA), Que.",  Men+,4,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    5 to 9 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,5,,
485,"Rouyn-Noranda (CA), Que.",  Men+,6,,
485,"Rouyn-Noranda (CA), Que.",  Men+,7,,
485,"Rouyn-Noranda (CA), Que.",  Men+,8,,
485,"Rouyn-Noranda (CA), Que.",  Men+,9,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    10 to 14 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,10,,
485,"Rouyn-Noranda (CA), Que.",  Men+,11,,
485,"Rouyn-Noranda (CA), Que.",  Men+,12,,
485,"Rouyn-Noranda (CA), Que.",  Men+,13,,
485,"Rouyn-Noranda (CA), Que.",  Men+,14,,
485,"Rouyn-Noranda (CA), Que.",  Men+,  15 to 64 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    15 to 19 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,15,,
485,"Rouyn-Noranda (CA), Que.",  Men+,16,,
485,"Rouyn-Noranda (CA), Que.",  Men+,17,,
485,"Rouyn-Noranda (CA), Que.",  Men+,18,,
485,"Rouyn-Noranda (CA), Que.",  Men+,19,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    20 to 24 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,20,,
485,"Rouyn-Noranda (CA), Que.",  Men+,21,,
485,"Rouyn-Noranda (CA), Que.",  Men+,22,,
485,"Rouyn-Noranda (CA), Que.",  Men+,23,,
485,"Rouyn-Noranda (CA), Que.",  Men+,24,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    25 to 29 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,25,,
485,"Rouyn-Noranda (CA), Que.",  Men+,26,,
485,"Rouyn-Noranda (CA), Que.",  Men+,27,,
485,"Rouyn-Noranda (CA), Que.",  Men+,28,,
485,"Rouyn-Noranda (CA), Que.",  Men+,29,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    30 to 34 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,30,,
485,"Rouyn-Noranda (CA), Que.",  Men+,31,,
485,"Rouyn-Noranda (CA), Que.",  Men+,32,,
485,"Rouyn-Noranda (CA), Que.",  Men+,33,,
485,"Rouyn-Noranda (CA), Que.",  Men+,34,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    35 to 39 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,35,,
485,"Rouyn-Noranda (CA), Que.",  Men+,36,,
485,"Rouyn-Noranda (CA), Que.",  Men+,37,,
485,"Rouyn-Noranda (CA), Que.",  Men+,38,,
485,"Rouyn-Noranda (CA), Que.",  Men+,39,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    40 to 44 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,40,,
485,"Rouyn-Noranda (CA), Que.",  Men+,41,,
485,"Rouyn-Noranda (CA), Que.",  Men+,42,,
485,"Rouyn-Noranda (CA), Que.",  Men+,43,,
485,"Rouyn-Noranda (CA), Que.",  Men+,44,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    45 to 49 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,45,,
485,"Rouyn-Noranda (CA), Que.",  Men+,46,,
485,"Rouyn-Noranda (CA), Que.",  Men+,47,,
485,"Rouyn-Noranda (CA), Que.",  Men+,48,,
485,"Rouyn-Noranda (CA), Que.",  Men+,49,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    50 to 54 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,50,,
485,"Rouyn-Noranda (CA), Que.",  Men+,51,,
485,"Rouyn-Noranda (CA), Que.",  Men+,52,,
485,"Rouyn-Noranda (CA), Que.",  Men+,53,,
485,"Rouyn-Noranda (CA), Que.",  Men+,54,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    55 to 59 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,55,,
485,"Rouyn-Noranda (CA), Que.",  Men+,56,,
485,"Rouyn-Noranda (CA), Que.",  Men+,57,,
485,"Rouyn-Noranda (CA), Que.",  Men+,58,,
485,"Rouyn-Noranda (CA), Que.",  Men+,59,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    60 to 64 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,60,,
485,"Rouyn-Noranda (CA), Que.",  Men+,61,,
485,"Rouyn-Noranda (CA), Que.",  Men+,62,,
485,"Rouyn-Noranda (CA), Que.",  Men+,63,,
485,"Rouyn-Noranda (CA), Que.",  Men+,64,,
485,"Rouyn-Noranda (CA), Que.",  Men+,  65 years and over,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    65 to 69 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,65,,
485,"Rouyn-Noranda (CA), Que.",  Men+,66,,
485,"Rouyn-Noranda (CA), Que.",  Men+,67,,
485,"Rouyn-Noranda (CA), Que.",  Men+,68,,
485,"Rouyn-Noranda (CA), Que.",  Men+,69,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    70 to 74 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,70,,
485,"Rouyn-Noranda (CA), Que.",  Men+,71,,
485,"Rouyn-Noranda (CA), Que.",  Men+,72,,
485,"Rouyn-Noranda (CA), Que.",  Men+,73,,
485,"Rouyn-Noranda (CA), Que.",  Men+,74,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    75 to 79 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,75,,
485,"Rouyn-Noranda (CA), Que.",  Men+,76,,
485,"Rouyn-Noranda (CA), Que.",  Men+,77,,
485,"Rouyn-Noranda (CA), Que.",  Men+,78,,
485,"Rouyn-Noranda (CA), Que.",  Men+,79,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    80 to 84 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,80,,
485,"Rouyn-Noranda (CA), Que.",  Men+,81,,
485,"Rouyn-Noranda (CA), Que.",  Men+,82,,
485,"Rouyn-Noranda (CA), Que.",  Men+,83,,
485,"Rouyn-Noranda (CA), Que.",  Men+,84,,
485,"Rouyn-Noranda (CA), Que.",  Men+,    85 years and over,,
485,"Rouyn-Noranda (CA), Que.",  Men+,      85 to 89 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,85,,
485,"Rouyn-Noranda (CA), Que.",  Men+,86,,
485,"Rouyn-Noranda (CA), Que.",  Men+,87,,
485,"Rouyn-Noranda (CA), Que.",  Men+,88,,
485,"Rouyn-Noranda (CA), Que.",  Men+,89,,
485,"Rouyn-Noranda (CA), Que.",  Men+,      90 to 94 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,90,,
485,"Rouyn-Noranda (CA), Que.",  Men+,91,,
485,"Rouyn-Noranda (CA), Que.",  Men+,92,,
485,"Rouyn-Noranda (CA), Que.",  Men+,93,,
485,"Rouyn-Noranda (CA), Que.",  Men+,94,,
485,"Rouyn-Noranda (CA), Que.",  Men+,      95 to 99 years,,
485,"Rouyn-Noranda (CA), Que.",  Men+,95,,
485,"Rouyn-Noranda (CA), Que.",  Men+,96,,
